Number of Lives,Amount of Paid Claims
Monthly Claims,Number of Paid Claims,Amount of Paid Claims
Insured,with VAT
Policy Year-2 years prior:Number of lives at start 0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0
Prior Policy Year:Number of lives at start 13
202102,13,15,4749.6,4800.9
202103,13,23,9598.35,9772.15
202104,13,17,7226.49,7435.04
202105,13,21,2449.17,2573.31
202106,13,14,4401,4487.1
202107,13,17,8572.48,8640.11
202108,13,17,1843.14,1880.25
202109,13,8,4749.6,4800.9
202110,13,19,9598.35,9772.15
202111,13,20,7226.49,7435.04
202112,13,5,2449.17,2573.31
202201,13,18,4401,4487.1
202202,13,16,8572.48,8640.11
210,75837.32,87212.92
Last Policy Year:Number of lives at start 27
202202,27,24,4749.6,4800.9
202203,27,30,9598.35,9772.15
202204,27,21,7226.49,7435.04
202205,27,17,2449.17,2573.31
202206,27,19,4401,4487.1
202207,27,15,8572.48,8640.11
202208,27,28,9598.35,9772.15
202209,27,25,7226.49,7435.04
Oyerall-Total,179,53821.93,61895.22
